"ne_name","db_id","db_name_ru"
"Altai Republic",2,"Республика Алтай"
"Amur",NA,NA
"Arkhangelsk",NA,NA
"Astrakhan",NA,NA
"Autonomous Republic of Crimea",NA,NA
"Bashkortostan",NA,NA
"Belgorod",NA,NA
"Bryansk",NA,NA
"Chechen Republic",NA,NA
"Chelyabinsk",NA,NA
"Chukotka Autonomous Okrug",NA,NA
"Chuvash Republic",NA,NA
"Donetsk",NA,NA
"Irkutsk",NA,NA
"Ivanovo",NA,NA
"Jewish",NA,NA
"Kabardino-Balkaria",NA,NA
"Kaliningrad",NA,NA
"Kaluga",NA,NA
"Kamchatka Krai",NA,NA
"Karachay-Cherkess Republic",NA,NA
"Karelia",NA,NA
"Kemerovo",NA,NA
"Khabarovsk Krai",NA,NA
"Khanty-Mansi Autonomous Okrug",NA,NA
"Kherson",NA,NA
"Kirov",NA,NA
"Komi Republic",NA,NA
"Kostroma",NA,NA
"Krasnodar Krai",NA,NA
"Krasnoyarsk Krai",NA,NA
"Kurgan",NA,NA
"Kursk",NA,NA
"Leningrad",NA,NA
"Lipetsk",NA,NA
"Luhansk",NA,NA
"Magadan",NA,NA
"Mari El Republic",NA,NA
"Moscow",NA,NA
"Murmansk",NA,NA
"Nenets Autonomous Okrug",NA,NA
"Nizhny Novgorod",NA,NA
"Novgorod",NA,NA
"Novosibirsk",NA,NA
"Omsk",NA,NA
"Orenburg",NA,NA
"Oryol",NA,NA
"Penza",NA,NA
"Perm Krai",NA,NA
"Primorsky Krai",NA,NA
"Pskov",NA,NA
"Republic of Adygea",1,"Республика Адыгея"
"Republic of Buryatia",NA,NA
"Republic of Dagestan",NA,NA
"Republic of Ingushetia",NA,NA
"Republic of Kalmykia",NA,NA
"Republic of Khakassia",NA,NA
"Republic of Mordovia",NA,NA
"Republic of North Ossetia-Alania",NA,NA
"Republic of Tatarstan",NA,NA
"Rostov",NA,NA
"Ryazan",NA,NA
"Saint Petersburg",NA,NA
"Sakha Republic",NA,NA
"Sakhalin",NA,NA
"Samara",NA,NA
"Saratov",NA,NA
"Sevastopol",NA,NA
"Smolensk",NA,NA
"Stavropol Krai",NA,NA
"Sverdlovsk",NA,NA
"Tambov",NA,NA
"Tomsk",NA,NA
"Tula",NA,NA
"Tuva Republic",NA,NA
"Tver",NA,NA
"Tyumen",NA,NA
"Udmurt Republic",NA,NA
"Ulyanovsk",NA,NA
"Vladimir",NA,NA
"Volgograd",NA,NA
"Vologda",NA,NA
"Voronezh",NA,NA
"Yamalo-Nenets Autonomous Okrug",NA,NA
"Yaroslavl",NA,NA
"Zabaykalsky Krai",NA,NA
"Zaporizhzhia",NA,NA
