"ne_name","db_id","db_name_ru","exists_in_db"
"Altai Republic",2,"Республика Алтай",TRUE
"Amur",NA,NA,TRUE
"Arkhangelsk",NA,NA,TRUE
"Astrakhan",NA,NA,TRUE
"Autonomous Republic of Crimea",NA,NA,TRUE
"Bashkortostan",NA,NA,TRUE
"Belgorod",NA,NA,TRUE
"Bryansk",NA,NA,TRUE
"Chechen Republic",NA,NA,TRUE
"Chelyabinsk",NA,NA,TRUE
"Chukotka Autonomous Okrug",NA,NA,TRUE
"Chuvash Republic",NA,NA,TRUE
"Donetsk",NA,NA,TRUE
"Irkutsk",NA,NA,TRUE
"Ivanovo",NA,NA,TRUE
"Jewish",NA,NA,TRUE
"Kabardino-Balkaria",NA,NA,TRUE
"Kaliningrad",NA,NA,TRUE
"Kaluga",NA,NA,TRUE
"Kamchatka Krai",NA,NA,TRUE
"Karachay-Cherkess Republic",NA,NA,TRUE
"Karelia",NA,NA,TRUE
"Kemerovo",NA,NA,TRUE
"Khabarovsk Krai",NA,NA,TRUE
"Khanty-Mansi Autonomous Okrug",NA,NA,TRUE
"Kherson",NA,NA,TRUE
"Kirov",NA,NA,TRUE
"Komi Republic",NA,NA,TRUE
"Kostroma",NA,NA,TRUE
"Krasnodar Krai",NA,NA,TRUE
"Krasnoyarsk Krai",NA,NA,TRUE
"Kurgan",NA,NA,TRUE
"Kursk",NA,NA,TRUE
"Leningrad",NA,NA,TRUE
"Lipetsk",NA,NA,TRUE
"Luhansk",NA,NA,TRUE
"Magadan",NA,NA,TRUE
"Mari El Republic",NA,NA,TRUE
"Moscow",NA,NA,TRUE
"Murmansk",NA,NA,TRUE
"Nenets Autonomous Okrug",NA,NA,TRUE
"Nizhny Novgorod",NA,NA,TRUE
"Novgorod",NA,NA,TRUE
"Novosibirsk",NA,NA,TRUE
"Omsk",NA,NA,TRUE
"Orenburg",NA,NA,TRUE
"Oryol",NA,NA,TRUE
"Penza",NA,NA,TRUE
"Perm Krai",NA,NA,TRUE
"Primorsky Krai",NA,NA,TRUE
"Pskov",NA,NA,TRUE
"Republic of Adygea",1,"Республика Адыгея",TRUE
"Republic of Buryatia",NA,NA,TRUE
"Republic of Dagestan",NA,NA,TRUE
"Republic of Ingushetia",NA,NA,TRUE
"Republic of Kalmykia",NA,NA,TRUE
"Republic of Khakassia",NA,NA,TRUE
"Republic of Mordovia",NA,NA,TRUE
"Republic of North Ossetia-Alania",NA,NA,TRUE
"Republic of Tatarstan",NA,NA,TRUE
"Rostov",NA,NA,TRUE
"Ryazan",NA,NA,TRUE
"Saint Petersburg",NA,NA,TRUE
"Sakha Republic",NA,NA,TRUE
"Sakhalin",NA,NA,TRUE
"Samara",NA,NA,TRUE
"Saratov",NA,NA,TRUE
"Sevastopol",NA,NA,TRUE
"Smolensk",NA,NA,TRUE
"Stavropol Krai",NA,NA,TRUE
"Sverdlovsk",NA,NA,TRUE
"Tambov",NA,NA,TRUE
"Tomsk",NA,NA,TRUE
"Tula",NA,NA,TRUE
"Tuva Republic",NA,NA,TRUE
"Tver",NA,NA,TRUE
"Tyumen",NA,NA,TRUE
"Udmurt Republic",NA,NA,TRUE
"Ulyanovsk",NA,NA,TRUE
"Vladimir",NA,NA,TRUE
"Volgograd",NA,NA,TRUE
"Vologda",NA,NA,TRUE
"Voronezh",NA,NA,TRUE
"Yamalo-Nenets Autonomous Okrug",NA,NA,TRUE
"Yaroslavl",NA,NA,TRUE
"Zabaykalsky Krai",NA,NA,TRUE
"Zaporizhzhia",NA,NA,TRUE
NA,NA,NA,TRUE
